seller_id,total_orders,late_orders,late_delivery_rate_percent
3f2af2670e104d1bcb54022274daeac5,6,1,16.67
3dfd3dc96f7f8598eca74e9ac8a2fa31,6,1,16.67
50770d25768b0486d89be26afca3108f,6,1,16.67
5d378b73ab7dd6f0418d743e5dcb0bd1,6,1,16.67
d93844a9c55ba7ce353388bcf849ea56,12,2,16.67
d6b664fa0667064c6d76394e7848d790,6,1,16.67
ecccfa2bb93b34a3bf033cc5d1dcdc69,12,2,16.67
eba88037e1dca898cd02881f67ced679,6,1,16.67
e45edf75f568ed2f93f78d060e246e25,6,1,16.67
ec80e49e69745ab6c14f984bf2149423,12,2,16.67
edd066cd02126d7800f9b66e980e9931,6,1,16.67
f419677537694f0462a91990df6ca44f,6,1,16.67
fe87f472055fbcf1d7e691c00b1560dc,6,1,16.67
dd7ddc04e1b6c2c614352b383efe2d36,121,20,16.53
abe42c5d03695b4257b5c6cbf4e6784e,49,8,16.33
